"","Subject","total_correct","total_inactiveLP","time_np","NP_responsestate","TotalA2"
"1","LF153",13,1,7.65384615384615,29,14
"2","LF154",4,4,2.725,27,4
"3","LF155",22,0,1.915,40,26
"4","LF156",61,2,2.58484848484848,46,73
"5","LF157",39,5,1.9125,57,65
"6","LF160",10,1,6.83,19,15
"7","LF161",55,9,3.40652173913043,46,68
"8","LF162",10,0,1.61111111111111,25,11
"9","LF163",8,4,3.6125,22,10
"10","LF164",16,2,5.45384615384615,84,18
"11","LF165",19,0,8.97272727272727,44,20
"12","LF166",74,0,2.94827586206897,8,77
"13","LF167",4,0,0.55,10,7
"14","LF52",69,4,2.825,14,78
