Subject,Group,correct.1.1,correct.2.1,correct.3.1,correct.1.2,correct.2.2,correct.3.2,correct.1.4,correct.2.4,correct.3.4,correct.1.8,correct.2.8,correct.3.8,correct.1.16,correct.2.16,correct.3.16
LF152,Subjugated,18,84,84,77,97,70,88,101,122,94,96,13,96,42,85
LF154,Subjugated,6,1,10,15,4,16,6,0,22,11,10,4,10,8,9
LF156,Subjugated,23,31,21,62,48,55,6,47,44,79,18,39,23,54,18
LF160,Subjugated,47,9,5,4,5,3,9,6,55,3,3,16,2,3,6
LF162,Subjugated,6,18,8,2,6,14,14,4,7,3,3,9,3,9,9
LF164,Subjugated,20,20,27,6,11,18,45,34,68,21,41,19,32,45,15
LF166,Subjugated,94,4,98,92,86,89,81,68,80,113,62,4,90,114,107
LF271,Subjugated,34,58,69,68,29,82,28,27,25,62,78,62,78,66,67
LF281,Subjugated,12,11,7,21,4,2,9,10,3,6,9,10,8,8,6
LF283,Subjugated,36,26,7,7,8,4,9,8,28,20,16,100,15,66,51
LF285,Subjugated,2,4,13,13,8,2,5,7,0,1,1,3,3,16,3
LF287,Subjugated,94,76,57,78,47,62,37,62,81,59,52,103,41,49,69
LF289,Subjugated,140,119,132,188,115,175,158,192,187,204,187,177,200,178,209
LF291,Subjugated,59,44,69,63,92,43,41,4,28,83,94,85,105,8,94
LF153,Control,16,31,4,18,12,12,6,2,10,24,11,28,12,11,12
LF155,Control,12,19,61,15,11,4,19,8,12,8,8,7,14,10,19
LF157,Control,70,18,74,40,8,10,11,8,5,14,5,86,16,18,19
LF161,Control,39,4,14,8,21,10,21,8,12,14,13,15,12,3,15
LF163,Control,8,4,6,14,6,11,9,14,15,4,4,9,6,6,16
LF165,Control,8,10,14,14,12,13,17,21,11,9,7,14,17,9,74
LF167,Control,60,8,11,20,17,69,14,1,52,60,15,23,10,28,15
LF270,Control,16,122,52,54,45,86,83,22,85,54,120,44,53,43,53
LF280,Control,121,71,96,84,46,48,95,61,88,98,69,81,102,46,62
LF282,Control,140,186,38,186,169,183,169,203,172,199,176,171,145,156,163
LF284,Control,161,162,141,159,154,157,101,131,154,94,154,167,93,87,125
LF286,Control,81,27,24,78,40,65,88,97,99,91,87,52,43,29,114
LF288,Control,9,16,14,7,18,12,18,66,6,14,48,20,17,9,12
LF290,Control,123,147,110,103,113,105,145,100,126,53,89,97,72,115,55
